"name","brand","ean","price","grammage","category","sale","image"
"Pickerd Vollmilchglasur 150g","Pickerd","40225487","1.79","150g (1 kg = 11,93 €)","Kochen & Backen","False","https://img.rewe-static.de/5112893/6846060_digital-image.png"
"Ruf Streudekor bunt 160g","Ruf","4002809024542","2.29","160g (1 kg = 14,31 €)","Kochen & Backen","False","https://img.rewe-static.de/0198924/3958910_digital-image.png"
"Biozentrale Bio Superfood Flohsamenschalen 175g","biozentrale","4005009104106","4.99","175g (1 kg = 28,51 €)","Kochen & Backen","False","https://img.rewe-static.de/8070619/30247301_digital-image.png"
"Campo Verde demeter Bio Weizenmehl Type 405 1kg","Campo Verde","4045178002384","2.49","1000g","Kochen & Backen","False","https://img.rewe-static.de/1105770/21605551_digital-image.png"
"Dr. Oetker Schoko-Wolke Backmischung 455g","Dr. Oetker","4000521004804","3.29","455g (1 kg = 7,23 €)","Kochen & Backen","False","https://img.rewe-static.de/0730555/5820580_digital-image.png"
"Nordzucker Bio Würfelzucker 500g","None","4008671730109","1.59","500g (1 kg = 3,18 €)","Kochen & Backen","False","https://img.rewe-static.de/7667675/39957485_digital-image.png"
"Ostmann Pottasche 15g","Ostmann","4002674124828","1.89","15g (1 kg = 126 €)","Kochen & Backen","False","https://img.rewe-static.de/2276179/23328849_digital-image.png"
"Davert Bio Geschälte Hanfsamen 150g","Davert","4019339431078","4.99","150g (1 kg = 33,27 €)","Kochen & Backen","False","https://img.rewe-static.de/1030265/26376354_digital-image.png"
"Dr. Oetker Original Pudding Schokolade Feinherb 3x37g","Dr. Oetker","4000521005009","0.99","144g (1 kg = 6,88 €)","Kochen & Backen","False","https://img.rewe-static.de/0876353/7475020_digital-image.png"
"Dr. Oetker Dessert-Soße zum Kochen Vanille-Geschmack 3x17g","Dr. Oetker","4000521005177","0.99","3x17g (1 kg = 19,41 €)","Kochen & Backen","False","https://img.rewe-static.de/0182397/38344911_digital-image.png"
"Davert Bio Braune Leinsaat geschrotet 200g","Davert","4019339413050","1.99","200g (1 kg = 9,95 €)","Kochen & Backen","False","https://img.rewe-static.de/8760632/24762502_digital-image.png"
"Dr. Oetker Original Pudding Sahne 3x37g","Dr. Oetker","4000521201319","0.99","3x37g (1 kg = 8,92 €)","Kochen & Backen","False","https://img.rewe-static.de/0182257/4784940_digital-image.png"
"Ben's Original Express Risotto Tomate & italienische Kräuter 250g","Ben's Original","3487400005342","2.49","250g (1 kg = 9,96 €)","Kochen & Backen","False","https://img.rewe-static.de/1446060/20685274_digital-image.png"
"REWE Beste Wahl Zitrone Aroma 8g","REWE Beste Wahl","4337256662598","0.79","8g","Kochen & Backen","False","https://img.rewe-static.de/8951668/40437398_digital-image.png"
"Dr. Oetker Gourmet Vanille Mühle 7,5g","Dr. Oetker","4000521030551","6.99","7,50g","Kochen & Backen","False","https://img.rewe-static.de/8732496/38286988_digital-image.png"
"Ruf Mini Marshmallows 45g","Ruf","4002809025433","1.29","45g (1 kg = 28,67 €)","Kochen & Backen","False","https://img.rewe-static.de/8058207/31505299_digital-image.png"
"Sweet Family Hagelzucker 250g","Sweet Family","4008671015022","0.89","250g (1 kg = 3,56 €)","Kochen & Backen","False","https://img.rewe-static.de/4648439/9690650_digital-image.png"
"Dr. Oetker Gelatine gemahlen weiß 3 Stück","Dr. Oetker","4000521721619","1.79","NA","Kochen & Backen","False","https://img.rewe-static.de/4907370/9690320_digital-image.png"
"Davert Bio 2-Minuten-Polenta Maisgrieß 500g","Davert","4019339308134","2.49","500g (1 kg = 4,98 €)","Kochen & Backen","False","https://img.rewe-static.de/9014934/31209917_digital-image.png"
"Diamond Quick Cooking Noodles 500g","Diamond","4316734061351","2.29","500g (1 kg = 4,58 €)","Kochen & Backen","False","https://img.rewe-static.de/8320488/29520182_digital-image.png"
"Dr. Oetker Maulwurfkuchen Backmischung 435g","Dr. Oetker","4000521885007","3.79","435g (1 kg = 8,71 €)","Kochen & Backen","False","https://img.rewe-static.de/5420857/2981040_digital-image.png"
"Biozentrale Bio Haferkleie 500g","biozentrale","4005009104687","2.99","500g (1 kg = 5,98 €)","Kochen & Backen","False","https://img.rewe-static.de/2045810/23476463_digital-image.png"
"Maggi Semmelknödel Klassisch 200g","Maggi","4005500325154","1.99","200g (1 kg = 9,95 €)","Kochen & Backen","False","https://img.rewe-static.de/3985237/28588537_digital-image.png"
"Bamboo Garden Soeoen Laksa Glasnudeln 100g","Bamboo Garden","4023900545361","1.59","100g (1 kg = 15,90 €)","Kochen & Backen","False","https://img.rewe-static.de/7918888/35066411_digital-image.png"
"Mühle Rüningen Bio Weizenmehl Type 550 1kg","None","4012756688018","1.19","1000g","Kochen & Backen","False","https://img.rewe-static.de/7825939/35960658_digital-image.png"
"Dr. Oetker Natürlich Kakaonibs 15g","Dr. Oetker","4000521024765","2.49","50g (1 kg = 49,80 €)","Kochen & Backen","False","https://img.rewe-static.de/8421495/31322353_digital-image.png"
"Davert Bio Dinkel wie Reis im Kochbeutel 250g","Davert","4019339147047","2.69","250g (1 kg = 10,76 €)","Kochen & Backen","False","https://img.rewe-static.de/0349266/38810273_digital-image.png"
"Dr. Oetker Zitronensäure 25g","Dr. Oetker","4000521701215","0.99","5x5g (1 kg = 39,60 €)","Kochen & Backen","False","https://img.rewe-static.de/5066719/7470070_digital-image.png"
"Neuss & Wilke Basmati-Reis 1kg","Neuss & Wilke","4000286223502","3.99","1kg","Kochen & Backen","False","https://img.rewe-static.de/3880036/22002552_digital-image.png"
"Maitre Marcel Zuckercouleur 40ml","Maitre Marcel","4013200381103","1.69","40ml (1 l = 42,25 €)","Kochen & Backen","False","https://img.rewe-static.de/5735564/24078502_digital-image.png"
"Ruf Bourbon Vanille Paste 75g","Ruf","4002809021749","3.99","75g (1 kg = 53,20 €)","Kochen & Backen","False","https://img.rewe-static.de/7864737/39528880_digital-image.png"
"Dr. Oetker Haselnuss Glasur 150g","Dr. Oetker","4000521024581","2.29","150g (1 kg = 15,27 €)","Kochen & Backen","False","https://img.rewe-static.de/8423252/31210806_digital-image.png"
"Dr. Oetker Seelenwärmer Pudding Karamell 58g","Dr. Oetker","4000521023881","0.99","58g (1 kg = 17,07 €)","Kochen & Backen","False","https://img.rewe-static.de/8319799/30280386_digital-image.png"
"Dr. Oetker Zucker Schrift Schwarz 25g","Dr. Oetker","4000521020385","1.49","25g (1 kg = 59,60 €)","Kochen & Backen","False","https://img.rewe-static.de/7228315/27841229_digital-image.png"
